,data,value
46,"['right', 'mind', 'gonna', 'buy', 'battery']",0
47,"['arguing', 'verizon', 'regarding', 'dropped', 'calls', 'returned', 'phones', 'two', 'days']",0
48,"['case', 'seems', 'well', 'made']",1
49,"['disappointed', 'battery']",0
50,"['loud', 'enough', 'doesnt', 'turn', 'like']",0
51,"['good', 'protection', 'make', 'phone', 'bulky']",1
52,"['usable', 'keyboard', 'actually', 'turns', 'pda', 'realworld', 'useful', 'machine', 'instead', 'neat', 'gadget']",1
53,"['phone', 'pretty', 'sturdy', 'never', 'large', 'problems']",1
54,"['love', 'thing']",1
55,"['everything', 'fine', 'reasonable', 'price', 'ie']",1
56,['disappointed'],0
57,"['even', 'dropped', 'phone', 'stream', 'submerged', 'seconds', 'still', 'works', 'great']",1
58,"['happy', 'complaints', 'one', 'regarding', 'sound', 'quality', 'end']",1
59,"['buttons', 'bad']",0
60,"['essentially', 'forget', 'microsofts', 'tech', 'support']",0
61,"['really', 'recommend', 'faceplates', 'since', 'looks', 'nice', 'elegant', 'cool']",1
62,"['headphones', 'great', 'find', 'think', 'perhaps', 'best', 'purchase', 'made', 'last', 'several', 'years', 'seriously']",1
63,"['buy', 'different', 'phone']",0
64,"['hold', 'phone', 'particular', 'angle', 'party', 'hear', 'clearly']",0
65,"['one', 'big', 'drawback', 'mp', 'player', 'buttons', 'phones', 'front', 'cover', 'let', 'pause', 'skip', 'songs', 'lock', 'seconds']",0
66,"['week', 'later', 'activated', 'suddenly', 'died']",0
67,"['feels', 'comfortable', 'headsets', 'wear', 'glasses', 'gets', 'way', 'sometimes']",1
68,"['great', 'ipods']",1
69,"['device', 'great', 'several', 'situations']",1
70,"['mic', 'doesnt', 'work']",0
71,"['even', 'bmw', 'series', 'fairly', 'quiet', 'trouble', 'hearing', 'person', 'saying']",0
72,"['great', 'choice']",1
73,"['nice', 'docking', 'station', 'home', 'work']",1
74,"['beautiful', 'phone']",1
75,"['love', 'product']",1
76,"['buy', 'dwrongly', 'advertised']",0
77,"['great', 'little', 'item']",1
78,"['love', 'phone', 'handy', 'lot', 'features']",1
79,"['purchased', 'within', 'days', 'longer', 'working']",0
80,"['wear', 'everyday', 'holds', 'well']",1
81,"['good', 'bargain']",0
82,"['well', 'packaged', 'arrived', 'time', 'works', 'intended']",1
83,"['battery', 'runs', 'quickly']",0
84,"['item', 'worked', 'great', 'broke', 'months', 'use']",0
85,"['headsets', 'easy', 'use', 'everyone', 'loves']",1
86,"['phone', 'works', 'great']",1
87,"['construction', 'headsets', 'poor']",0
88,"['product', 'excellent', 'works', 'better', 'verizon', 'one', 'boy', 'cheaper']",1
89,"['phone', 'loads', 'super']",1
90,"['product', 'costs', 'much', 'one', 'expect', 'work', 'far', 'better', 'greater', 'ease', 'thing']",0
91,"['made', 'sturdy']",1
92,"['worked', 'great']",1
93,"['ear', 'buds', 'play', 'music', 'one', 'ear']",0
94,"['dont', 'waste', 'money']",0
95,['order'],1
96,"['plan', 'use', 'car', 'forget']",0
97,"['found', 'product', 'waaay', 'big']",0
98,"['best', 'found', 'far', 'tried', 'bluetooths', 'one', 'best', 'quality', 'listener', 'well', 'ease', 'using']",1
99,"['disappointed', 'decision']",0
100,"['integrated', 'seamlessly', 'motorola', 'razr', 'phone']",1
101,"['buyer', 'beware', 'could', 'flush', 'money', 'right', 'toilet']",0
102,"['definitely', 'bargain']",1
103,"['price', 'good', 'free', 'shipping', 'good', 'purchase']",1
104,"['received', 'supposedly', 'new', 'motorola', 'apparently', 'match', 'phone', 'charger']",0
105,"['prosgood', 'camera', 'nice', 'pictures', 'also', 'cool', 'styles', 'like', 'black', 'white']",1
106,"['thats', 'huge', 'design', 'flaw', 'unless', 'using', 'correctly', 'dont', 'think', 'case']",0
107,"['love', 'headset', 'jabra', 'bluetooth', 'headset', 'great', 'reception', 'good', 'ear', 'piece', 'comfortable', 'fit']",1
108,"['camera', 'although', 'rated', 'impressive', 'megapixels', 'renders', 'images', 'fall', 'well', 'expectations', 'relatively', 'high', 'resolution']",0
109,"['purcashed', 'car', 'charger', 'work']",0
110,"['sound', 'quality', 'end', 'excellent', 'use', 'headset', 'call', 'wife', 'ask', 'wife', 'use', 'headset', 'call']",1
111,"['phone', 'slim', 'light', 'display', 'beautiful']",1
112,"['little', 'geeky', 'think', 'thats', 'sex', 'toast', 'rocks', 'oozes', 'sex', 'right', 'battery', 'embedded', 'sleek', 'stylish', 'leather', 'case']",1
113,"['great', 'product', 'fast', 'shipping']",1
114,"['absolutely', 'great']",1
115,"['keyboard', 'nice', 'compromise', 'full', 'qwerty', 'basic', 'cell', 'phone', 'number', 'keypad']",1
116,"['got', 'phone', 'around', 'end', 'may', 'completely', 'unhappy']",0
117,"['comfortable', 'ear']",1
118,"['winner', 'us']",1
119,"['setup', 'couldnt', 'simpler']",1
120,"['tried', 'several', 'different', 'earpieces', 'cell', 'phone', 'jabra', 'one', 'first', 'one', 'found', 'fits', 'ear', 'comfortably']",1
121,"['could', 'get', 'strong', 'enough', 'signal']",0
122,"['pleased', 'purchase']",1
123,"['bad', 'quality']",0
124,"['gets', 'job', 'done']",1
125,"['great', 'audio']",1
126,"['basically', 'service', 'bad']",0
127,"['work', 'cell', 'phone', 'plug', 'set', 'charger']",0
128,"['bluetooth', 'weeks', 'really', 'like']",1
129,"['bt', 'headset', 'disapoinment']",0
130,"['small', 'dont', 'even', 'realize', 'getting', 'used']",1
131,"['accompanied', 'software', 'almost', 'brilliant']",1
132,"['headset', 'works', 'great', 'packaged', 'nicely', 'avoid', 'damage']",1
133,"['definitly', 'recommend']",1
134,"['buyerbe', 'careful']",0
135,"['majority', 'logitech', 'earbud', 'headsets', 'failed']",0
136,"['good', 'stuff', 'price']",1
137,"['headset', 'works', 'peachykeen']",1
138,"['house', 'getting', 'dropped', 'coverage', 'upstairs', 'coverage', 'basement']",0
139,"['voice', 'recognition', 'tremendous']",1
140,['waste'],0
141,"['several', 'different', 'minute', 'calls', 'experienced', 'drops', 'area', 'bars']",0
142,"['happy', 'item']",0
143,['disappointed'],0
144,"['phone', 'takes', 'forever', 'charge', 'like', 'hours', 'literally']",0
145,"['got', 'phone', 'reccomendation', 'relative', 'glad']",1
146,"['waste', 'time']",0
147,"['reception', 'poor']",0
148,"['items', 'stated', 'included', 'description', 'included']",0
149,"['months', 'screen', 'went', 'black', 'sudden']",0
150,['hoping'],0
151,"['audio', 'quality', 'poor', 'poor']",0
152,"['absolutely', 'problem', 'headset', 'linking', 'blackberry', 'curve']",1
153,"['know', 'sounds', 'funny', 'seemed', 'like', 'sketchy', 'technology', 'wouldnt', 'work', 'wellwell', 'one', 'works', 'great']",1
154,"['bought', 'wired', 'headphones', 'sound', 'better']",0
155,"['phone', 'fast', 'sending', 'kind', 'messages', 'web', 'browsing', 'significantly', 'faster', 'previous', 'phones', 'used']",1
156,"['nice', 'quality', 'build', 'unlike', 'cheap']",1
157,"['item', 'fantastic', 'works', 'perfectly']",1
158,"['love', 'colors']",1
159,"['wi', 'superb']",1
160,"['whine', 'internet', 'goesthe', 'use', 'thing', 'less', 'like']",0
161,"['great', 'charger']",1
162,"['essentially', 'communications', 'tool', 'communicate']",0
163,"['works', 'like', 'charm', 'work', 'one', 'got', 'phone']",1
164,"['still', 'maintain', 'monkeys', 'shouldnt', 'make', 'headphones', 'obviously', 'dont', 'share', 'enough', 'dna', 'copy', 'design', 'humans']",0
165,"['great', 'value']",1
166,"['doesnt', 'work', 'bougth', 'lc', 'working']",0
167,"['look', 'sharp', 'screen', 'nice', 'clear', 'great', 'graphics']",1
168,"['doesnt', 'last', 'long']",0
169,"['one', 'thing', 'hate', 'mode', 'set', 'button', 'side']",0
170,"['excellent', 'service']",1
171,"['thank', 'wasting', 'money']",0
172,"['bethe', 'audio', 'quality', 'poor']",0
173,"['igo', 'chargers', 'tips', 'really', 'great']",1
174,"['file', 'browser', 'offers', 'options', 'one', 'needshandsfree', 'great']",1
175,"['superb', 'phone', 'great', 'network']",1
176,"['connected', 'wifes', 'bluetoothmotorola', 'hs', 'phone', 'worked', 'like', 'charm', 'whether', 'phone', 'pocket', 'case']",1
177,"['put', 'latest', 'os', 'vg', 'likes', 'slow', 'crawl', 'lock', 'every']",0
178,"['recognizes', 'phone', 'storage', 'device']",0
179,"['like', 'loud', 'buzzing', 'override', 'conversations', 'phone']",0
180,"['dont', 'buy', 'product']",0
181,"['bluetoooth', 'headset', 'time', 'still', 'comfortable', 'way', 'fits', 'ear']",0
182,"['sound', 'quality', 'good', 'functionality', 'awesome']",1
183,"['phone', 'thorn', 'side', 'really', 'abhor']",0
184,"['recently', 'problems', 'could', 'stay', 'connected', 'minutes', 'disconnected']",0
185,['incredible'],1
186,"['design', 'flaw']",0
187,"['great', 'phone']",1
188,"['waste', 'bucks']",0
189,"['check', 'voice', 'mail', 'night', 'keypad', 'backlight', 'turns', 'seconds', 'first', 'message', 'lost']",0
190,"['replacement', 'died', 'weeks']",0
191,"['ring', 'toneoverall', 'good', 'phone', 'buy']",1
192,"['lately', 'extremely', 'nice', 'helpful', 'phone']",1
193,"['problems', 'wit', 'hit', 'dropping', 'signal']",0
194,['impressed'],0
195,"['light', 'weight', 'hardly', 'notice']",1
196,"['youll', 'love', 'thin']",1
197,"['bad', 'choice']",0
198,"['pleather', 'case', 'doesnt', 'fit']",0
199,"['useless', 'phone', 'simply', 'deaf']",0
200,"['color', 'even', 'prettier', 'thought', 'would', 'graphics', 'incredibly', 'sharp']",1
201,"['think', 'good', 'investment']",1
202,"['makes', 'strange', 'ticking', 'noises', 'ends', 'call']",0
203,"['best', 'electronics', 'available', 'fm', 'transmitters']",1
204,"['battery', 'lasts', 'hours']",0
205,"['great', 'headset', 'impressed']",1
206,"['mega', 'pixel', 'camera', 'part', 'phone', 'reasonably', 'good']",1
207,"['nearly', 'years', 'worked', 'great']",1
208,"['good', 'transmit', 'audio']",1
209,"['sending', 'back']",0
210,"['bother', 'contacting', 'company', 'dollar', 'product', 'learned', 'lesson', 'bought', 'form', 'online', 'anyway']",0
211,"['hate', 'earbugs', 'avoid', 'phone', 'means']",0
212,"['great', 'price', 'also']",1
213,"['range', 'decent', 'able', 'roam', 'around', 'house', 'phone', 'living', 'room', 'receptionsound', 'quality', 'issues']",1
214,"['fast', 'service']",1
215,"['would', 'highly', 'recommend']",1
216,"['would', 'recommend']",1
217,"['also', 'didnt', 'like', 'button', 'felt', 'like', 'would', 'crack', 'use']",0
218,"['worst', 'phone', 'ever']",0
219,"['still', 'infatuated', 'phone']",1
220,"['freezes', 'frequently']",0
221,"['kind', 'embarrassing', 'use', 'looks', 'mostly', 'embarrassing', 'childlike', 'company']",0
222,"['simple', 'lightweight', 'great', 'fit']",1
223,"['id', 'expected', 'better', 'consumer', 'experience', 'motorola']",0
224,"['theres', 'horrible', 'tick', 'sound', 'background', 'calls', 'never', 'experienced']",0
225,"['certainly', 'comfortable', 'functionality', 'decent']",1
226,"['usually', 'dont', 'like', 'headbands', 'one', 'lightweight', 'doesnt', 'mess', 'hair']",1
227,"['bit', 'disappointed']",0
228,"['phone', 'year', 'tell', 'great']",0
229,"['ordered', 'sony', 'ericsson', 'wi', 'think', 'worked', 'thats', 'first', 'used']",0
230,"['battery', 'completely', 'useless']",0
231,"['big', 'waste', 'time']",0
232,"['dont', 'waste', 'one']",0
233,"['great', 'sound', 'service']",1
234,"['really', 'pleased', 'product', 'far']",1
235,"['one', 'favorite', 'purchases', 'ever']",1
236,"['best', 'bluetooth', 'market']",1
237,"['authentic', 'leather', 'nice', 'shine', 'comfort', 'recommend', 'case']",1
238,"['excited', 'get', 'headset', 'thought', 'really', 'cute']",1
239,"['make', 'mistake']",0
240,"['big', 'disappointment', 'calendar', 'sync']",0
241,"['phone', 'unusable', 'new']",0
242,"['worst', 'customer', 'service', 'ever']",0
243,"['additional', 'ear', 'gels', 'provided', 'instructions', 'whatsoever']",0
244,"['defeats', 'purpose', 'bluetooth', 'headset']",0
245,"['worth', 'every', 'penny']",1
246,"['excellent', 'wallet', 'type', 'phone', 'case']",1
247,"['nice', 'headphones', 'price', 'work', 'great']",1
248,"['internet', 'excrutiatingly', 'slow']",0
249,"['comfortable', 'wear', 'well', 'probably', 'important', 'aspect', 'using', 'case']",1
250,"['fits', 'like', 'glove', 'strong', 'secure', 'durable']",1
251,"['gosh', 'best', 'phone', 'ever']",1
252,"['attractive', 'appears', 'good', 'quality']",1
253,"['love', 'features', 'form', 'factor']",1
254,"['product', 'strong', 'rubberpetroleum', 'smell', 'unbearable', 'caused', 'return']",0
255,"['poor', 'quality', 'service']",0
256,"['cable', 'looks', 'thin', 'flimsy', 'scary']",0
257,"['great', 'earpiece']",1
258,"['excellent', 'hands', 'free', 'tool']",1
259,"['great', 'using', 'home', 'stereo']",1
260,"['good', 'product', 'incredible', 'value']",1
261,"['month', 'worked', 'flawlessly', 'far']",1
262,"['works', 'great']",1
263,"['absolutel', 'junk']",0
264,"['one', 'didnt', 'work', 'either']",0
265,"['battery', 'life', 'real', 'good']",1
266,"['returned', 'hours', 'later']",0
267,"['great', 'item']",1
268,"['dont', 'waste', 'money']",0
269,"['love', 'headset']",1
270,"['drain', 'player', 'may', 'also', 'potentially', 'fry']",0
271,"['worked', 'perfectly']",1
272,"['unreliable', 'giving']",0
273,"['gave', 'stars', 'sound', 'quality']",1
274,"['avoid', 'one']",0
275,"['reversible', 'plug', 'works', 'great']",1
276,"['wasted', 'little', 'money', 'earpiece']",0
277,"['good', 'phone']",1
278,"['best', 'rotating', 'feature', 'helpful']",1
279,"['comfort', 'whole', 'family']",1
280,"['good', 'product', 'good', 'seller']",1
281,"['love', 'bluetooth']",1
282,"['first', 'doesnt', 'wear', 'well']",0
283,"['impressed', 'headset', 'plantronics']",1
284,"['got', 'small', 'adorable']",1
285,"['great', 'phone']",1
286,"['wouldnt', 'recommend', 'buying', 'product']",0
287,"['piece', 'junk']",0
288,"['poorly', 'contstruct', 'hinge']",0
289,"['item', 'great', 'installed', 'let', 'charged', 'overnite', 'working', 'good', 'every', 'since', 'problems']",1
290,"['great', 'phone']",1
291,"['dont', 'buy']",0
292,"['excellent', 'phone']",1
293,"['purchase', 'phone']",0
294,"['voice', 'recognition', 'thru', 'handset', 'excellent']",1
295,"['hands', 'best', 'phone', 'ever']",1
296,"['works', 'great', 'cat', 'attacked', 'phone', 'scratched', 'protective', 'strip', 'instead', 'destroying', 'screen']",1
297,"['one', 'works', 'priced', 'right']",1
298,"['customer', 'service', 'terrible']",0
299,"['battery', 'life', 'still', 'long', 'enough', 'motorola', 'razor', 'vi']",0
300,"['sending', 'back']",0
301,"['know', 'made', 'wise', 'decision']",1
302,"['someone', 'shouldve', 'invented', 'sooner']",1
303,"['good', 'price']",1
304,"['everything', 'worked', 'first', 'trythe', 'device', 'certainly', 'engineered', 'clever', 'way', 'construction', 'feels', 'good']",1
305,"['received', 'quickly', 'works', 'great']",1
306,"['working', 'great']",1
307,"['many', 'people', 'complained', 'found', 'headsets', 'microphone', 'weak']",0
308,"['year', 'old', 'nokia', 'tracfone', 'holds', 'charge', 'lot', 'better']",0
309,"['care', 'consumer', 'one', 'bit']",0
310,"['good', 'battery', 'got', 'really', 'fast']",1
311,"['instruction', 'manual', 'lacking']",0
312,"['also', 'slim', 'enough', 'fit', 'alarm', 'clock', 'docking', 'station', 'without', 'removing', 'case']",1
313,"['phone', 'holds', 'charge', 'like', 'new']",1
314,"['battery', 'unreliable', 'well', 'service', 'use', 'antena']",0
315,"['uncomfortable', 'sound', 'quality', 'quite', 'poor', 'compared', 'phone', 'razr', 'previous', 'wired', 'headset', 'plugged', 'lg']",0
316,"['gotten', 'lot', 'compliments']",1
317,"['definitely', 'must', 'state', 'allow', 'cell', 'phone', 'usage', 'driving']",1
318,"['want', 'money', 'back']",0
319,"['love', 'device']",1
320,"['also', 'happy', 'price']",1
321,"['ordered', 'product', 'first', 'unhappy', 'immediately']",0
322,"['ngage', 'still', 'lacking', 'earbuds']",0
323,"['able', 'voice', 'dialing', 'car', 'problem']",1
324,"['bars', 'cell', 'phone', 'home', 'cant', 'hear', 'anything']",0
325,"['good', 'item', 'low', 'price']",1
326,"['howeverthe', 'riingtones', 'best', 'neither', 'games']",0
327,"['plug', 'work', 'well']",0
328,"['amazon', 'sucks']",0
329,"['rip', 'charge', 'shipping']",0
330,['comfortable'],1
331,"['battery', 'working', 'well', 'replacement', 'original', 'came', 'phone', 'years', 'ago']",1
332,"['reception', 'excellent']",1
333,"['fits', 'comfortably', 'either', 'ear', 'sound', 'clear', 'loud', 'charge', 'lasts', 'couple', 'days']",1
334,"['clear', 'quality', 'sound', 'dont', 'mess', 'sound', 'ipod', 'since', 'sound', 'buttons', 'headset']",1
335,"['long', 'lasting', 'battery', 'dont', 'recharge', 'frequentyly', 'flip', 'phones']",0
336,"['obviously', 'problem', 'adhesive']",0
337,['disappointing'],0
338,"['inexpensive', 'piece', 'would', 'still', 'expected', 'better', 'quality']",0
339,"['practically', 'useless', 'add', 'kind', 'boost', 'reception', 'bought']",0
340,"['excellent', 'sound', 'quality']",1
341,['happy'],0
342,"['piece', 'junk', 'broke', 'phone', 'days']",0
343,"['new', 'battery', 'works', 'great', 'phone']",1
344,"['worst', 'customer', 'service']",0
345,"['dropped', 'phone', 'times', 'say', 'even', 'concrete', 'phone', 'still', 'great', 'knock', 'wood']",1
346,"['reception', 'terrible', 'full', 'static']",0
347,"['good', 'audio', 'quality']",1
348,"['little', 'device', 'transformed', 'organizational', 'capability', 'made', 'life', 'whole', 'lot', 'easier']",1
349,"['sitting', 'vehicle', 'cradle', 'belt', 'headset', 'lost', 'signal']",0
350,"['jerks', 'phone']",0
351,"['works', 'like', 'charm', 'works', 'advertised']",1
352,"['comfortable', 'nice', 'range', 'good', 'battery', 'life']",1
353,"['network', 'coverage', 'los', 'angeles', 'horrible']",0
354,"['excellent', 'starter', 'wireless', 'headset']",0
355,"['loudspeaker', 'option', 'great', 'bumpers', 'lights', 'appealing']",0
356,"['thing', 'think', 'could', 'improve', 'sound', 'leaks', 'headset']",0
357,"['first', 'reception', 'sucks', 'never', 'bars', 'ever']",0
358,"['phone', 'gets', 'extremely', 'hot']",0
359,"['microphone', 'also', 'works', 'well', 'according', 'people', 'called', 'applifies', 'everything']",1
360,"['nice', 'design', 'quality']",1
361,"['also', 'phone', 'dropped', 'case', 'going', 'save', 'specially', 'dropped', 'face']",0
362,"['light', 'easy', 'use', 'clear', 'reception', 'transmission']",1
363,"['bad', 'fit', 'way', 'big']",0
364,"['definitely', 'good']",1
365,"['awesome', 'device']",1
366,"['waste', 'money']",0
367,"['ordered', 'motorola', 'data', 'cable', 'got', 'well', 'finished', 'working', 'product']",1
368,"['love', 'phone']",1
369,"['looking', 'headset', 'long', 'time', 'got', 'couldnt', 'happier']",1
370,"['ill', 'drivng', 'along', 'headset', 'starts', 'ringing', 'reason']",0
371,"['display', 'excellent', 'camera', 'good', 'year']",1
372,"['battery', 'life', 'also', 'great']",1
373,"['worst', 'phone', 'ever', 'months']",0
374,"['good', 'item', 'worked', 'started', 'problems', 'auto', 'reverse', 'tape', 'player']",0
375,"['embarassing', 'also', 'ears', 'hurt', 'try', 'push', 'ear', 'plug', 'ear']",0
376,"['protects', 'phone', 'sides']",1
377,"['average', 'phone', 'bad', 'battery', 'life', 'operates', 'weak', 'network']",0
378,"['clear', 'skype', 'calls', 'long', 'battery', 'life', 'long', 'range']",1
379,"['soyo', 'technology', 'sucks']",0
380,"['great', 'hands', 'free', 'device']",1
381,"['even', 'take', 'self', 'portraits', 'outside', 'exterior', 'display', 'cool']",1
382,"['problem', 'others', 'mentioned']",0
383,"['trying', 'many', 'many', 'handsfree', 'gadgets', 'one', 'finally', 'works', 'well']",1
384,"['magical', 'help']",1
385,"['worst', 'piece', 'crap', 'ever', 'along', 'verizon', 'customer', 'service']",0
386,"['poor', 'sound', 'quality']",0
387,"['best', 'phone', 'market']",1
388,"['worked', 'well']",1
389,"['company', 'shipped', 'product', 'promptly', 'works', 'well']",1
390,"['exactly', 'wanted']",1
391,"['picture', 'resolution', 'far', 'comparablypriced', 'phones', 'offering', 'today']",0
392,"['great', 'deal']",1
393,"['excellent', 'product', 'satisfied', 'purchase']",1
394,"['highly', 'recommend', 'encourage', 'people', 'give', 'try']",1
395,"['better', 'youd', 'expect']",1
396,"['using', 'earpieces', 'left', 'right', 'thing', 'stay', 'ear']",0
397,"['great', 'product', 'price']",1
398,"['sounds', 'good', 'reasonably', 'priced', 'effective', 'simple']",1
399,"['still', 'waiting', 'sure', 'item', 'would', 'work', 'well', 'ever', 'recieve']",0
400,['disappointment'],0
401,"['prompt', 'service']",1
402,"['excellent', 'product', 'price']",1
403,"['pleased', 'headset']",1
404,"['dont', 'waste', 'money', 'time']",0
405,"['especially', 'love', 'long', 'battery', 'life']",1
406,"['stupid', 'keep', 'buying', 'new', 'chargers', 'car', 'chargers', 'cradles', 'headphones', 'car', 'kits', 'every', 'time', 'new', 'phone', 'comes']",0
407,"['works', 'great']",1
408,"['plantronics', 'bluetooth', 'excelent', 'buy']",1
409,"['came', 'verizon', 'cingulair', 'nicer', 'cell', 'phones', 'first', 'thing', 'noticed', 'really', 'bad', 'service']",0
410,"['ill', 'looking', 'new', 'earpiece']",0
411,"['highly', 'recommend', 'device', 'everyone']",1
412,"['jawbone', 'era', 'awesome']",1
413,"['received', 'white', 'colored', 'battery', 'goes', 'dead', 'couple', 'hoursthe', 'original', 'used', 'last', 'week', 'still', 'lasts', 'longer', 'thereplacement']",0
414,"['year', 'battery', 'went', 'completely', 'dead', 'headset']",0
415,"['used', 'several', 'phone', 'two', 'years', 'one', 'best']",1
416,"['awesome', 'new', 'look', 'fall']",1
417,"['first', 'phone', 'cheaply', 'made']",0
418,"['att', 'clear', 'sound', 'distorted', 'yell', 'talk']",0
419,"['plastic', 'breaks', 'really', 'easy', 'clip']",0
420,"['price', 'good']",1
421,"['dont', 'make', 'mistake']",0
422,"['oh', 'forgot', 'also', 'mention', 'weird', 'color', 'effect', 'phone']",0
423,"['using', 'iriver', 'spinn', 'case', 'fits', 'fine']",1
424,"['also', 'area', 'unit', 'broke', 'fond', 'magnetic', 'strap']",0
425,"['overall', 'psyched', 'phone', 'appointments', 'contacts', 'gets', 'great', 'reception']",1
426,"['every', 'thing', 'phone', 'work', 'perfectly', 'like']",1
427,"['another', 'note', 'phones', 'appearance', 'really', 'looks', 'rather', 'bland', 'especially', 'black', 'model']",0
428,"['really', 'easy']",1
429,"['sanyo', 'survived', 'dozens', 'drops', 'blacktop', 'without', 'ill', 'effect']",1
430,"['fantastic', 'earphones']",1
431,"['finds', 'cell', 'phone', 'right', 'away', 'enter', 'car']",1
432,"['low', 'quality']",0
433,"['highly', 'recommend', 'modest', 'priced', 'cellular', 'phone']",1
434,"['get', 'better', 'reception', 'clarity', 'phone']",1
435,"['warning', 'stay', 'away']",0
436,"['wish', 'could', 'return', 'unit', 'get', 'back', 'money']",0
437,"['awsome', 'device', 'works', 'great']",1
438,"['used', 'talk', 'hours', 'battery', 'would', 'literally', 'drained', 'dying']",0
439,"['dont', 'find', 'bad', 'unit', 'comes', 'one', 'earpad', 'onlyi', 'would', 'recommend', 'anyone']",0
440,['displeased'],0
441,"['might', 'gotten', 'defect', 'would', 'risk', 'buying', 'built', 'quality', 'alone']",0
442,"['made', 'case', 'small', 'difficult', 'install']",0
443,"['restored', 'phone', 'like', 'new', 'performance']",1
444,"['would', 'recommend', 'purchasing', 'jabra', 'jx', 'series', 'works', 'flawlessly', 'moto', 'go', 'figure']",1
445,"['searched', 'internet', 'found', 'one', 'best', 'value']",1
446,['fit'],0
447,"['happy', 'product']",1
448,"['screen', 'size', 'big', 'key', 'pad', 'lit', 'well', 'enough', 'camera', 'quality', 'excellent', 'camera', 'phone']",1
449,"['theres', 'really', 'nothing', 'bad', 'say', 'headset']",0
450,"['glad', 'found', 'product', 'amazon', 'hard', 'find', 'wasnt', 'high', 'priced']",1
451,"['portable', 'works']",1
452,"['colleague', 'get', 'great', 'receptiona', 'little', 'expensive', 'performance', 'great']",1
453,"['even', 'fully', 'charged', 'went', 'bed', 'turned', 'blue', 'tooth', 'wifi', 'noticed', 'left', 'morning']",0
454,"['also', 'problems', 'phone', 'reading', 'memory', 'card', 'always', 'turn']",0
455,"['good', 'wearing', 'hat', 'sunglasses']",0
456,"['timely', 'shipment', 'quality', 'product']",1
457,"['nice', 'solid', 'keyboard']",1
458,"['well', 'made', 'fits', 'surefire', 'gx', 'perfectly']",1
459,"['horrible', 'phone']",0
460,"['bt', 'battery', 'junk']",0
461,"['would', 'recommend', 'others']",1
462,"['cant', 'get', 'software', 'work', 'computer']",0
463,['disappointed'],0
464,"['poor', 'voice', 'clarity']",0
465,"['battery', 'works', 'great']",1
466,"['buyers', 'remorse', 'one']",0
467,"['disappointed', 'accessoryone']",0
468,"['find', 'inexcusable', 'probably', 'returning', 'phone', 'perhaps', 'changing', 'carriers']",0
